Id,Tags,dataset,estimator,embedding_dim,batch_size,learning_rate,model_seed,n_epochs,prec_train,prec_valid,prec_test,mrr_train,mrr_valid,mrr_test,recall_train,recall_valid,recall_test
LDAEXP-250,"[""success""]",goodbooks,MFEst,64.0,128.0,0.001,4203564202.0,55.0,0.5701182988918837,0.0690019628567114,0.0683047424937251,0.0305390063871573,0.0598721785621564,0.0597297602702124,0.0598926734852437,0.1265166656038123,0.1253603318019536
LDAEXP-179,"[""success""]",movielens-1m,SNMFEst,48.0,64.0,0.001,3128845410.0,99.0,0.5715066225165563,0.0704831003362236,0.0682497331910352,0.0424240998087601,0.07205360427472,0.0704508215295178,0.0896281799393415,0.1555395944219082,0.146653041348272
LDAEXP-168,"[""success""]",movielens-1m,SNMFEst,48.0,128.0,0.001,3128845410.0,99.0,0.5657284768211921,0.0705715802512829,0.0681430096051227,0.0417404358690523,0.0715282063973302,0.0704481285135402,0.0881843780590274,0.1543298644922484,0.1464490493371738
LDAEXP-240,"[""success""]",movielens-1m,SNMFEst,64.0,128.0,0.001,4203564202.0,99.0,0.5751986754966887,0.0702530525570695,0.0681074350764852,0.0429625035239758,0.0730851809708069,0.0697749465170584,0.0905778155180068,0.1531993359134559,0.1490782935191676
LDAEXP-243,"[""success""]",movielens-1m,SNMFEst,64.0,64.0,0.001,4203564202.0,99.0,0.5824337748344371,0.0690497257122633,0.0680896478121664,0.043850017287758,0.0726793841832714,0.0692215798385365,0.0921570494311098,0.1516287314773486,0.1506250377879126
LDAEXP-259,"[""success""]",goodbooks,MFEst,64.0,64.0,0.001,3128845410.0,54.0,0.5648079514824799,0.0675562433942322,0.0680065674007813,0.0302361203788859,0.0590010806099601,0.0589553157533846,0.0592993973469701,0.1234175591255364,0.1245786759329657
LDAEXP-187,"[""success""]",movielens-1m,SNMFEst,48.0,64.0,0.001,2764130162.0,99.0,0.5664569536423842,0.0697929569987612,0.0676449662041978,0.0423518269824554,0.0721016305726987,0.0683685708755304,0.0893271831979753,0.1546104250845199,0.1462105952055597
LDAEXP-198,"[""success""]",movielens-1m,SNMFEst,48.0,64.0,0.001,4203564202.0,99.0,0.5671026490066224,0.0682887984427534,0.0672002845962291,0.0421787952478235,0.0713108637974714,0.06931749329029,0.0887761180318212,0.1496205557525768,0.1458857618931433
LDAEXP-184,"[""success""]",movielens-1m,SNMFEst,48.0,128.0,0.001,4203564202.0,99.0,0.5607284768211921,0.068094142629623,0.0671824973319103,0.0416045640406338,0.0702365521803894,0.0694038677087608,0.0871751551368779,0.1483692990663112,0.1446826446272384
LDAEXP-242,"[""success""]",goodbooks,MFEst,64.0,64.0,0.001,2764130162.0,53.0,0.5636025007487273,0.0673580703608636,0.0670818471758289,0.0302299462250435,0.0588077212752898,0.0590352628648129,0.0591883096366972,0.1231786640845341,0.1229968094172166
LDAEXP-173,"[""success""]",goodbooks,SNMFEst,48.0,128.0,0.001,3128845410.0,75.0,0.5522873614854747,0.0665597161407217,0.0669289852610919,0.0295284760934325,0.0585527611227751,0.0585951344011109,0.0579399985125714,0.1219122392039743,0.1224738326360825
LDAEXP-197,"[""success""]",movielens-1m,SNMFEst,48.0,128.0,0.001,2764130162.0,99.0,0.5601655629139073,0.0689081578481684,0.0668801138384916,0.0416606760868864,0.0715492683838169,0.0676328257842649,0.0875347799174603,0.1513273169096435,0.1432020937736886
LDAEXP-229,"[""success""]",goodbooks,MFEst,64.0,64.0,0.001,4203564202.0,52.0,0.5630634171907757,0.0672146308319492,0.0668704825529826,0.0301808175746993,0.0586225227906783,0.0583418331350324,0.0591463346246728,0.1233036660600947,0.1221952138549496
LDAEXP-202,"[""success""]",goodbooks,SNMFEst,48.0,128.0,0.001,2764130162.0,74.0,0.5551400119796346,0.0667767627963158,0.0668610466323199,0.0296012475112529,0.058495473121864,0.0586763734953747,0.058257798724251,0.1224431946252518,0.1222924278395046
LDAEXP-190,"[""success""]",goodbooks,SNMFEst,48.0,128.0,0.001,4203564202.0,70.0,0.553812893081761,0.0664672353918164,0.0666326973522806,0.0295585595143672,0.0584035517181366,0.0585034544241269,0.0580448112673287,0.1211927933378804,0.1215452860207449
LDAEXP-181,"[""success""]",goodbooks,MFEst,48.0,128.0,0.001,3128845410.0,56.0,0.5552635519616651,0.0663521062962403,0.0665232406725924,0.0296529978857035,0.0584183320049875,0.0579951642414416,0.0582759296889841,0.1213253080925813,0.1215023156982604
LDAEXP-233,"[""success""]",movielens-1m,MFEst,64.0,128.0,0.001,2764130162.0,93.0,0.591705298013245,0.0669262077508405,0.0664887940234791,0.0455791138741102,0.0686752510811907,0.0700170496605575,0.0951511256482821,0.1481624063384161,0.148387855286643
